name,player_id,k_percent_Breaking,k_percent_Fastball,k_percent_Offspeed,put_away_Breaking,put_away_Fastball,put_away_Offspeed,whiff_percent_Breaking,whiff_percent_Fastball,whiff_percent_Offspeed,woba_Breaking,woba_Fastball,woba_Offspeed
Jackson Chourio,694192,30.720514185523943,18.78254322846865,23.73527725958093,26.700901374545207,18.745580621111387,19.34228016863397,38.60957520870712,16.260833019598298,27.28247415323335,0.32969856897193,0.3173054029999289,0.2865379863657178
Jackson Holliday,702616,24.327016461861085,13.435790164678355,21.354693331374893,20.34967810551745,14.262551677180388,16.481920312852655,30.911715608122783,11.194083450791592,28.79203753076202,0.2868923387649594,0.4353974030936702,0.4155989499113541
Jackson Merrill,701538,21.183967705308437,19.140360231880347,15.589248262665208,18.11522097073405,24.21378873151822,15.77332149893785,23.79846960975226,15.257296066415895,23.056995715131382,0.3427755196612633,0.3647235298698334,0.2810666458263638
Jacob Amaya,676070,30.158939506096324,31.05240300536023,22.568834631500597,20.75057926580085,31.848451203191,21.881083679222574,38.0998589230681,19.298513619905773,37.29519527480371,0.3959841459350848,0.0641105378989946,0.249179828100581
Jacob Stallings,607732,30.741303190997503,37.17952541651473,22.193223276508498,23.192059243448856,29.72696181185678,22.06490515272896,38.9567130735114,35.804981806183434,33.1140407106697,0.3282057279664881,0.3045276886983328,0.3399000878458105
Jacob Wilson,805779,8.363011534185942,5.534133342162388,12.982963442717264,12.90490120856447,7.220536863892842,9.692082737623716,16.465307749460298,5.747813939517987,20.33759983249519,0.4320223539996807,0.4080051351603122,0.2522625925667765
Jacob Young,696285,21.45505297933874,8.267861507659722,13.498111558716849,13.227984080507802,10.285750291269393,10.869459068502929,25.74374051090186,7.082182517422123,19.32927940554487,0.1269379693799338,0.3467922180792951,0.2496101075629786
Jake Bauers,641343,38.26546387270196,31.884864354578166,32.07719833667372,28.13763757817588,43.8661285168405,24.520800547971085,46.30155537062343,31.133906893804376,39.83976343655951,0.2753571308846968,0.3093472940889417,0.2833476902914527
Jake Burger,669394,38.42531655724115,24.019346920003223,33.680942103937255,26.589649281996177,24.89988485134303,30.304071607609625,44.859161322764784,18.38403922370356,42.70673104730284,0.2875920529073283,0.2618757135784663,0.2155763470722808
Jake Cronenworth,630105,28.49866194172609,15.85922237434806,19.14626921509106,23.462002336679053,15.957030929139757,15.655944269877828,31.908379015914647,11.697566948607854,28.51997437887216,0.3249989688026888,0.4326614318529265,0.4122806149174088
Jake Fraley,641584,22.16083855990947,10.16710715960477,18.675705283459024,20.013984285526703,11.823687325671017,12.938610875594664,23.38531587163127,9.610834999303096,21.66126737563873,0.2849763138456166,0.3074088287621815,0.3675980414625583
Jake Mangum,663968,15.45011999764544,11.651862295757397,18.80029264920301,12.692451558541991,7.37115901221015,15.139778017513628,26.79769528422077,13.85520757473457,20.97197024568437,0.3424002725379509,0.4268905670790748,0.2692062758997016
Jake Mccarthy,664983,19.523247943824387,6.20446299684875,18.110329363507624,20.790264596576,5.236381686589673,15.291554493181817,27.527311739116463,13.580070825370068,21.9690331702843,0.3490562137850364,0.1505474190142221,0.253815444680027
Jake Meyers,676694,22.394239665792085,12.57860921060356,26.13832071208145,19.89487074253397,19.64293230149205,21.080805873258043,34.31965325664164,12.650307847200557,30.208855293594382,0.3874106807920303,0.3118508928657844,0.3116467774742135
