Name,MLBAM_ID,Putaway vs RHB,Putaway vs LHB,O-Swing%,Z-Swing%,O-Contact%,Z-Contact%,Zone%,F-Strike%,SwStr%,CSW%,FIP-,Stuff+,K%,BB%,IP,Matched_Name,Match_Type
Jonathan Cannon,687259,SL,SL,0.30576923,0.70304569,0.71069182,0.88447653,0.43107221,0.60759494,0.0852459,0.23387978,96.6507367138794,99.63400192,0.17721519,0.07172996,55.0,Jonathan Cannon,Exact
Jose Butto,672640,CU,CU,0.31598513,0.74233129,0.51764706,0.87603306,0.37731481,0.60550459,0.12933025,0.25866051,90.8600760468709,102.292006319115,0.22018349,0.11009174,26.0,José Buttó,Fuzzy
Justin Steele,670008,SL,SL,0.37790698,0.68085106,0.66153846,0.9375,0.45047923,0.67391304,0.08945687,0.27476038,123.695566302666,100.755974440895,0.22826087,0.05434783,22.2,Justin Steele,Exact
Kyle Hendricks,592767,CU,CU,0.3019802,0.63265306,0.74590164,0.92473118,0.42120344,0.63953488,0.06437768,0.25894134,129.328169207045,80.1376923076923,0.14534884,0.09302326,41.2,Kyle Hendricks,Exact
Logan Allen,680688,SL,SL,0.27663934,0.6286645,0.74074074,0.89119171,0.38616352,0.62944162,0.07044025,0.25786164,97.4914927274042,92.7453929539295,0.17258883,0.10659898,44.1,Logan Allen,Exact
MacKenzie Gore,669370,CU,CU,0.35051546,0.71428571,0.5,0.80677966,0.41507538,0.61440678,0.15979899,0.29648241,73.9019815589029,101.022096774194,0.3559322,0.07627119,56.1,MacKenzie Gore,Exact
Matthew Boyd,605648,SL,SL,0.34698276,0.70637119,0.68944099,0.84313725,0.43757576,0.63084112,0.10909091,0.2630303,97.7989335782998,94.9472506082725,0.24766355,0.06074766,51.1,Matthew Boyd,Exact
Max Meyer,676606,SL,SL,0.3280543,0.64942529,0.46206897,0.88495575,0.44050633,0.62037037,0.13164557,0.30379747,96.4612664767923,96.2498856416773,0.27314815,0.07407407,50.1,Max Meyer,Exact
Michael Lorenzen,571864,CU,CU,0.31235955,0.6819407,0.57553957,0.88142292,0.45465686,0.61818182,0.10906863,0.27083333,110.987117816823,94.4500245700245,0.20454545,0.06818182,52.2,Michael Lorenzen,Exact
Nathan Eovaldi,594835,SF,SF,0.3372093,0.71358025,0.54597701,0.83737024,0.43973941,0.59913793,0.13665944,0.30043384,51.914538031259,98.2362472885032,0.28017241,0.03448276,61.1,Nathan Eovaldi,Exact
Paul Skenes,686389,SL,SL,0.33097345,0.72209026,0.63636364,0.80263158,0.42697769,0.61316872,0.12981744,0.27586207,69.11582785,108.515810113519,0.25514403,0.06584362,62.2,Paul Skenes,Exact
Reese Olson,681140,CU,CU,0.31467181,0.66784452,0.48466258,0.87301587,0.35330836,0.64676617,0.13483146,0.30586767,72.5234952685857,94.364425,0.25373134,0.09452736,48.2,Reese Olson,Exact
Ryan Feltner,680689,SL,SL,0.33226837,0.71634615,0.58653846,0.87248322,0.39923225,0.59259259,0.11854685,0.2543021,102.629491010349,88.3901915708812,0.18518519,0.08888889,30.1,Ryan Feltner,Exact
Ryan Pepiot,676968,CU,CU,0.31884058,0.72289157,0.68831169,0.84333333,0.46213808,0.59745763,0.10555556,0.24444444,120.140613711216,107.954543429844,0.19915254,0.07627119,56.1,Ryan Pepiot,Exact
Seth Lugo,608336,CU,CU,0.2639485,0.65326633,0.6504065,0.90769231,0.46064815,0.72522523,0.0775463,0.27546296,111.12178874857,96.64438228,0.18918919,0.06756757,56.2,Seth Lugo,Exact
Taj Bradley,687093,FC,FC,0.29450549,0.71098266,0.60447761,0.89837398,0.43196005,0.56807512,0.09737828,0.24219725,118.790439468825,100.487894736842,0.19248826,0.10328638,50.2,Taj Bradley,Exact
Tanner Bibee,687006,SL,SL,0.24248927,0.69250646,0.61946903,0.90298507,0.45369285,0.62441315,0.08089097,0.26260258,141.145180864192,101.222603815937,0.16431925,0.07981221,51.0,Tanner Bibee,Exact
Taijuan Walker,592135,SF,SF,0.29512894,0.64257028,0.73786408,0.89375,0.41638796,0.63087248,0.07345576,0.24540902,83.8173565775141,92.82661115,0.20805369,0.09395973,34.1,Taijuan Walker,Exact
Trevor Rogers,669432,CU,CU,0.31060606,0.74825175,0.6097561,0.86915888,0.52,0.72839506,0.10909091,0.30545455,79.2506310458965,126.214763636364,0.22222222,0.03703704,22.1,Tyler Rogers,Fuzzy
